State,Account length,Area code,International plan,Voice mail plan,Number vmail messages,Total day minutes,Total day calls,Total day charge,Total eve minutes,Total eve calls,Total eve charge,Total night minutes,Total night calls,Total night charge,Total intl minutes,Total intl calls,Total intl charge,Customer service calls,Churn
Alaska,126,415,0,0,0,58,94,9,138,118,11,136,91,6,11,1,3,5,1
New York,67,408,0,1,36,115,111,19,237,94,20,169,103,7,9,12,2,2,0
New Hampshire,19,408,0,0,0,186,98,31,254,57,21,214,127,9,14,7,3,2,0
Virginia,170,510,1,0,0,259,68,44,245,122,20,134,121,6,8,3,2,3,0
New Mexico,73,415,0,0,0,214,145,36,268,135,22,241,92,10,10,13,2,1,0
New York,106,408,0,0,0,158,74,26,64,139,5,198,103,8,10,4,2,1,0
Wyoming,164,510,0,0,0,160,111,27,163,126,13,187,112,8,9,3,2,1,0
Washington,51,408,0,0,0,232,109,39,187,95,15,231,107,10,9,3,2,1,0
Colorado,107,415,0,0,0,133,85,22,180,94,15,112,115,5,8,4,2,0,0
Texas,130,415,0,0,0,176,109,30,90,104,7,238,69,10,9,2,2,1,0
Kentucky,80,408,0,0,0,209,74,35,195,77,16,208,119,9,8,4,2,2,0
Montana,94,415,0,0,0,137,118,23,203,88,17,150,131,6,13,2,3,0,0
Oklahoma,118,408,0,1,23,289,52,49,166,111,14,119,88,5,9,4,2,1,0
Maryland,117,415,0,1,23,198,86,33,177,86,15,180,92,8,6,6,1,1,0
Tennessee,78,415,0,0,0,149,119,25,182,115,15,261,126,11,9,8,2,0,0
Maine,131,510,1,1,26,292,101,49,199,97,16,255,127,11,13,7,3,4,1
District of Columbia,63,408,0,0,0,83,64,14,177,106,15,245,89,11,13,3,3,0,0
Minnesota,53,415,0,1,24,145,146,24,220,136,18,249,96,11,13,5,3,3,0
Delaware,62,408,0,0,0,182,101,30,328,93,27,245,131,11,11,1,3,2,0
Maryland,97,415,0,0,0,218,86,37,184,94,15,240,110,10,6,8,1,3,0
Michigan,105,510,0,0,0,140,109,23,178,51,15,217,83,9,6,3,1,2,0
Washington,157,415,0,0,0,152,105,25,257,80,21,198,93,8,9,4,2,1,0
Missouri,66,415,0,1,36,106,76,18,209,77,17,190,117,8,12,2,3,1,0
Oregon,38,415,0,0,0,194,94,33,186,95,15,223,90,10,10,5,2,3,0
Maryland,106,510,0,0,0,213,95,36,151,70,12,260,124,11,12,5,3,3,0
Rhode Island,99,510,0,0,0,217,112,36,246,89,20,226,89,10,15,7,4,3,0
Arizona,144,510,1,0,0,203,100,34,247,103,21,194,94,8,11,11,3,0,0
Pennsylvania,82,415,0,1,24,155,131,26,244,106,20,122,68,5,10,3,2,1,0
Arizona,86,408,0,1,31,167,139,28,113,118,9,246,121,11,12,6,3,1,0
Florida,70,510,1,0,0,226,98,38,228,115,19,73,93,3,17,4,4,2,1
Louisiana,93,415,0,0,0,179,93,30,178,98,15,225,131,10,11,6,3,3,0
Florida,93,415,0,0,0,151,89,25,186,76,15,172,120,7,10,3,2,0,0
Florida,120,415,0,0,0,180,80,30,224,82,19,265,91,11,4,7,1,3,0
Maryland,136,415,0,0,0,250,121,42,267,118,22,151,114,6,13,2,3,1,1
Alabama,106,415,0,0,0,223,121,37,110,98,9,188,107,8,7,12,1,0,0
Washington,81,415,0,0,0,183,116,31,152,98,12,212,99,9,12,6,3,3,0
Tennessee,127,408,0,1,22,166,114,28,174,103,14,244,68,11,10,6,2,1,0
Maine,35,408,0,0,0,149,113,25,242,122,20,174,104,7,8,6,2,2,0
Oklahoma,88,408,0,0,0,65,97,11,168,76,14,236,113,10,13,1,3,2,0
Missouri,123,415,0,0,0,206,85,35,244,78,20,221,136,9,7,2,2,3,0
Iowa,126,408,0,1,27,186,78,31,189,83,16,76,139,3,9,3,2,2,0
Virginia,104,415,0,1,23,280,136,47,220,92,18,136,102,6,13,3,3,4,0
Maryland,93,408,1,0,0,312,109,53,129,100,11,217,74,9,10,2,2,0,1
Ohio,63,415,1,1,36,199,110,33,291,111,24,197,92,8,11,6,2,1,0
Oklahoma,100,415,0,0,0,203,96,34,217,126,18,180,122,8,13,2,3,3,0
Nevada,53,415,0,0,0,168,97,28,220,87,18,154,113,6,10,2,2,0,0
Idaho,92,415,1,0,0,173,140,29,240,105,20,233,117,10,9,5,2,1,0
South Dakota,110,408,0,1,40,202,103,34,118,128,10,234,98,10,9,9,2,2,0
Illinois,110,408,0,0,0,74,117,12,200,98,17,192,101,8,9,7,2,3,0
Alabama,73,415,0,0,0,192,86,32,168,116,14,139,87,6,9,6,2,1,0
New Jersey,138,510,0,0,0,220,89,37,88,125,7,195,79,8,12,5,3,0,0
Nevada,137,415,1,0,0,135,95,22,134,102,11,223,81,10,12,2,3,2,1
Indiana,36,415,0,0,0,253,77,43,182,151,15,275,103,12,8,2,2,1,0
West Virginia,85,408,0,0,0,225,81,38,176,63,15,194,110,8,7,2,1,3,0
South Carolina,22,408,0,0,0,110,107,18,166,93,14,202,96,9,9,5,2,0,0
Rhode Island,107,415,0,1,37,60,102,10,102,80,8,261,106,11,11,3,3,0,0
Indiana,51,510,0,0,0,214,94,36,149,58,12,283,66,12,10,5,2,0,0
Oregon,33,415,0,1,29,157,99,26,117,80,10,279,79,12,13,11,3,4,1
New Jersey,106,415,0,0,0,207,91,35,172,109,14,191,143,8,14,7,3,4,0
Mississippi,82,408,0,0,0,207,90,35,232,83,19,172,108,7,9,8,2,3,0
Texas,97,415,1,0,0,143,117,24,273,82,23,178,81,8,10,3,2,0,0
District of Columbia,108,510,0,0,0,138,122,23,172,117,14,231,92,10,9,3,2,1,0
Texas,114,415,0,0,0,84,118,14,249,86,21,193,95,8,14,8,3,1,0
Utah,59,510,0,0,0,155,79,26,235,123,20,169,80,7,8,4,2,1,0
Minnesota,24,510,0,1,25,164,110,28,209,105,17,231,55,10,6,9,1,1,0
Illinois,151,408,0,0,0,134,88,22,143,112,12,223,61,10,15,1,4,1,0
New Mexico,117,415,0,0,0,143,103,24,211,108,17,185,96,8,11,3,3,1,0
West Virginia,114,510,0,1,30,206,79,35,260,91,22,291,83,13,11,6,3,1,0
Rhode Island,114,510,0,1,28,225,94,38,193,117,16,232,100,10,8,9,2,4,0
New Hampshire,119,408,0,0,0,138,89,23,170,78,14,263,98,11,13,6,3,3,0
Massachusetts,118,408,1,0,0,160,123,27,175,96,14,184,99,8,9,3,2,2,0
Pennsylvania,101,415,0,0,0,206,105,35,224,117,19,249,100,11,14,3,3,0,0
Oklahoma,117,415,0,0,0,134,121,22,180,83,15,200,104,9,7,3,2,1,0
Alabama,49,415,0,1,28,214,78,36,235,100,19,206,107,9,8,13,2,3,0
Wyoming,139,415,0,0,0,192,104,32,234,96,19,203,101,9,13,3,3,3,0
Pennsylvania,92,408,0,1,28,151,90,25,194,79,16,239,114,10,10,3,2,1,0
Hawaii,148,510,1,0,0,218,88,37,208,85,17,203,99,9,11,4,3,0,0
Alabama,131,415,0,1,25,192,85,32,225,105,19,254,59,11,10,6,2,2,0
Vermont,146,510,1,0,0,204,135,34,219,90,18,222,114,10,10,6,2,3,0
Alaska,48,415,0,1,37,211,115,35,159,84,13,144,80,6,12,1,3,1,0
Michigan,86,415,0,1,28,221,74,37,288,100,24,240,105,10,9,2,2,1,0
Delaware,71,415,0,0,0,197,108,33,181,109,15,281,56,12,6,5,1,3,0
Michigan,137,510,0,0,0,206,122,35,128,102,10,194,84,8,8,5,2,2,0
Kansas,137,408,0,0,0,205,88,35,209,86,17,289,84,13,14,4,3,2,0
Alabama,167,510,0,0,0,207,88,35,132,63,11,255,98,11,14,5,3,0,0
Nebraska,132,510,0,0,0,99,110,16,129,80,10,125,124,5,9,3,2,0,0
Wisconsin,94,510,0,0,0,177,112,30,194,112,16,146,108,6,5,4,1,1,0
Wisconsin,96,510,0,1,18,172,86,29,133,113,11,259,70,11,9,3,2,1,0
Indiana,166,510,0,0,0,204,115,34,179,152,15,216,109,9,9,5,2,1,0
District of Columbia,74,415,0,0,0,85,83,14,247,67,21,142,85,6,10,5,2,2,0
Arkansas,36,415,0,0,0,157,117,26,184,58,15,240,99,10,11,1,3,0,0
Maine,113,415,0,0,0,215,129,36,218,117,18,207,91,9,6,9,1,4,0
Maryland,67,415,0,0,0,171,80,29,110,81,9,195,111,8,11,4,3,2,0
Iowa,158,415,0,0,0,158,106,26,292,114,24,241,89,10,9,4,2,1,0
Arizona,136,510,0,0,0,92,117,15,253,77,21,214,90,9,10,10,2,1,0
Missouri,196,415,0,0,0,234,109,39,249,114,21,173,70,7,9,5,2,2,0
Vermont,113,415,0,0,0,272,111,46,268,118,22,213,105,9,8,10,2,1,1
Rhode Island,112,510,0,0,0,194,101,33,190,82,16,183,107,8,11,2,3,0,0
Minnesota,62,415,0,0,0,248,109,42,220,118,18,265,78,11,13,2,3,1,1
Texas,110,415,0,1,38,236,102,40,195,112,16,183,82,8,9,6,2,1,0
Virginia,16,510,0,0,0,205,69,34,169,93,14,220,64,9,10,3,2,0,0
Massachusetts,73,408,0,0,0,94,136,16,280,122,23,205,77,9,9,4,2,0,0
Idaho,128,408,0,0,0,125,99,21,205,107,17,254,111,11,18,2,5,0,0
Georgia,103,415,0,1,28,121,105,20,270,100,22,160,76,7,7,4,2,2,0
Rhode Island,119,415,0,1,29,117,66,20,256,114,21,147,76,6,7,3,2,3,0
Idaho,173,510,0,1,21,232,96,39,211,118,18,273,102,12,5,5,1,3,0
South Dakota,128,510,1,1,32,223,81,38,188,74,16,154,101,6,9,2,2,2,1
Massachusetts,86,510,0,0,0,176,79,29,259,97,22,287,78,12,6,3,1,0,0
Wyoming,114,415,0,1,32,125,79,21,177,105,15,232,89,10,12,3,3,1,0
Virginia,104,408,0,0,0,138,107,23,256,113,21,234,74,10,10,3,2,0,0
Oregon,148,415,0,0,0,86,134,14,246,92,20,251,91,11,11,4,3,1,0
Virginia,129,408,0,0,0,207,91,35,154,121,13,245,112,11,13,5,3,3,0
Maine,100,510,0,1,30,58,104,10,219,107,18,152,118,6,7,3,1,0,0
Georgia,143,408,0,1,33,239,109,40,235,112,20,156,95,7,9,4,2,1,0
Iowa,76,510,0,0,0,198,130,33,217,86,18,188,96,8,12,3,3,0,0
Arizona,158,510,0,0,0,205,97,34,240,77,20,79,108,3,14,12,3,0,0
Florida,116,510,0,0,0,192,98,32,312,135,26,130,94,5,7,2,2,3,0
Montana,54,415,0,0,0,272,83,46,248,74,21,197,111,8,9,2,2,1,1
Alabama,86,415,0,0,0,128,121,21,197,93,16,138,152,6,12,5,3,7,1
Delaware,108,510,0,0,0,169,99,28,264,87,22,206,78,9,9,4,2,0,0
Montana,66,510,0,0,0,201,95,34,152,66,12,233,101,10,7,4,2,1,0
South Carolina,99,510,0,0,0,169,70,28,271,77,23,170,104,7,10,2,2,0,0
Washington,55,415,0,0,0,194,121,33,176,110,15,302,136,13,7,7,1,2,0
Alaska,78,408,0,0,0,225,67,38,199,127,16,175,102,7,14,2,3,0,0
Georgia,89,415,0,0,0,213,63,36,176,71,15,262,126,11,9,1,2,1,1
Minnesota,101,415,0,0,0,183,115,31,255,101,21,275,145,12,10,11,2,1,0
Illinois,44,415,0,1,34,221,105,37,161,85,13,227,62,10,14,7,3,0,0
Indiana,98,408,0,1,21,64,98,10,176,86,14,244,84,11,0,0,0,2,0
South Carolina,64,510,0,1,37,154,92,26,83,103,7,165,99,7,13,3,3,1,0
Virginia,141,415,0,0,0,260,131,44,179,120,15,135,119,6,7,8,1,3,0
Wisconsin,81,415,0,1,33,161,117,27,123,90,10,261,101,11,12,5,3,1,0
Vermont,162,510,0,0,0,220,117,37,155,121,13,186,89,8,10,11,2,1,0
Arizona,83,415,0,1,41,155,122,26,162,107,13,127,105,5,13,5,3,3,0
Florida,100,510,0,0,0,107,63,18,105,67,8,243,74,10,12,3,3,4,1
Alaska,59,510,0,0,0,182,104,31,204,95,17,229,100,10,11,8,3,4,0
Arkansas,179,415,1,1,38,220,78,37,234,71,19,237,85,10,10,4,2,4,0
Arkansas,79,408,0,0,0,152,112,25,177,132,15,96,87,4,5,3,1,1,0
Alaska,117,415,0,0,0,181,95,30,205,88,17,204,82,9,14,9,3,2,0
Maine,31,415,0,0,0,166,105,28,79,93,6,213,98,9,12,2,3,1,0
New Mexico,122,408,0,1,23,134,85,22,227,132,19,122,96,5,8,2,2,2,0
Nebraska,37,408,1,1,39,149,122,25,211,75,17,114,90,5,9,4,2,1,0
South Carolina,90,408,0,1,29,150,109,25,264,103,22,178,97,8,5,4,1,1,0
Colorado,159,408,1,0,0,257,53,43,312,127,26,183,82,8,8,6,2,1,1
Ohio,39,415,0,1,36,141,121,24,232,113,19,222,131,9,12,5,3,1,0
Oklahoma,194,408,0,0,0,162,88,27,213,118,18,192,81,8,10,2,2,0,0
North Carolina,112,415,0,0,0,193,96,32,264,123,22,128,115,5,9,3,2,4,0
Maryland,45,415,0,0,0,78,127,13,253,108,21,255,100,11,18,3,4,1,0
Kansas,132,415,0,0,0,83,110,14,232,137,19,146,114,6,7,5,2,1,0
Massachusetts,128,415,0,0,0,195,99,33,267,120,22,164,76,7,16,2,4,0,0
New Mexico,56,408,0,0,0,197,110,33,222,102,18,225,91,10,10,6,2,2,0
California,151,415,1,0,0,218,57,37,114,88,9,269,95,12,12,1,3,0,1
New York,32,415,0,0,0,164,98,28,229,96,19,167,108,7,14,2,4,2,0
Arizona,90,415,0,0,0,179,77,30,210,99,17,276,58,12,9,6,2,2,0
District of Columbia,138,415,0,0,0,170,87,28,118,116,10,187,111,8,11,7,3,2,0
North Dakota,79,408,0,0,0,205,123,34,214,108,18,226,106,10,6,18,1,1,0
Missouri,95,415,1,0,0,165,84,28,286,112,24,198,89,8,11,2,3,1,1
Kansas,127,415,0,0,0,221,100,37,160,113,13,233,96,10,6,4,1,2,0
South Dakota,137,510,0,0,0,242,118,41,191,93,16,218,50,9,14,2,3,3,0
Oklahoma,97,415,0,0,0,151,107,25,155,96,13,240,112,10,14,4,3,1,0
Oregon,149,415,1,0,0,176,87,29,145,81,12,249,92,11,5,4,1,0,0
Indiana,117,415,1,1,22,196,82,33,322,82,27,225,120,10,3,5,1,1,0
Ohio,84,408,0,0,0,159,125,27,247,90,21,187,82,8,7,4,1,2,0
Kansas,137,415,0,0,0,230,113,39,220,79,18,204,111,9,10,7,2,4,0
Connecticut,99,415,0,0,0,146,64,24,274,99,23,321,98,14,8,1,2,3,0
Wisconsin,85,415,0,0,0,102,95,17,270,139,22,148,105,6,10,3,2,1,0
Mississippi,150,510,0,0,0,126,99,21,238,73,20,285,100,12,10,6,2,3,0
West Virginia,43,415,0,0,0,168,125,28,243,89,20,214,102,9,11,2,3,1,0
Maryland,98,415,0,0,0,206,92,35,176,152,14,232,115,10,12,5,3,5,0
Pennsylvania,112,510,0,0,0,217,76,36,205,100,17,185,91,8,9,3,2,2,0
Wisconsin,16,510,0,0,0,229,78,39,205,108,17,166,91,7,10,2,2,0,1
Illinois,84,510,0,0,0,181,129,30,130,112,11,186,118,8,8,4,2,1,0
District of Columbia,66,415,0,0,0,167,91,28,230,68,19,191,118,8,10,5,2,1,1
Georgia,98,415,0,1,31,121,105,20,218,98,18,226,110,10,12,1,3,1,0
Idaho,74,415,0,0,0,221,124,37,110,94,9,240,112,10,10,3,2,0,0
Kentucky,119,510,0,0,0,222,122,37,163,107,13,160,112,7,11,6,3,1,0
Ohio,73,415,0,0,0,183,80,31,242,115,20,201,100,9,7,3,2,4,0
